Category,Record Number,Commercial Subtype,Residential Subtype,ADU/TED on Permit?,Work Description,Business Name,Project Cost,Job Cost Valuation,Current Valuation - Commercial,Current Valuation - Residential,Address,ADU or TED on Address?,Total Construction Valuation,Current Market Valuation,Property Type,Project Type,Units,Data Dump,Date,Month,Month Number,Calendar Year,Fiscal Year
01 - Remodel Commercial,2021-MSS-COM-00203,BAARC -  Add/Alter/Remodel Commercial,,,MILE HIGH CANNABIS/Change of Use and Interior TI - Non Structural/VB/F-1/B,APPLICANT,8000.0,0.0,,,725-E RONAN ST,,8000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00204,BAARC -  Add/Alter/Remodel Commercial,,,"BRASSERIE PORTE ROUGE/Interior Renovation only, no exterior work. Relocate bar to align with the south wall. No work within the commercial kitchen or existing restrooms. New work includes interior finishes, table relocation, bar relocation, interior vestibule. Minor structural, plumbing work also./ VB/ A2",MCMAHON CONSTRUCTION,150000.0,0.0,,,231 E FRONT ST,,150000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00211,BAARC -  Add/Alter/Remodel Commercial,,,MAGIC DIAMOND/Replace existing exterior wall and roof finishes with new wall and roof finishes. Walls to be brick veneer wainscots and fiber cement lap siding. Piers at main entry to be stone veneer. Roofs to be prefinished standing seam metal.,WESTERN INTERSTATE INC,240000.0,0.0,,,1210 W BROADWAY,,240000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00216,BAARC -  Add/Alter/Remodel Commercial,,,SWANK ENT - SUITE B/Interior remodel / tenant improvement of existing building for commercial office space.,SWANK ENTERPRISES,150000.0,0.0,,,128-B W ALDER ST,,150000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00219,BAARC -  Add/Alter/Remodel Commercial,,,MASSAGE ON BROADWAY/Interior Remodel/ VB/ B,SAWYER CONTRACTING LLC,11500.0,0.0,,,400 102 W BROADWAY,,11500.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00223,BAARC -  Add/Alter/Remodel Commercial,,,WALMART/Install new walk-in cooler/freezer and add new boxes in Online Grocery Pickup area; restripe existing parking stalls and install directional signage for Online Grocery Pickup dedicated parking/ VB/ M,ENGINEERED STRUCTURES INC,342405.0,0.0,,,3555 MULLAN RD,,342405.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00238,BCFND -  Foundation Only,,,MR T'S/ Installation of a 6x12x22 lighted sign cabinet/ IIB/ U,FARR SIDE SIGN/IMAGINE DESIGN,7500.0,0.0,,,5550 EXPRESSWAY,,7500.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00253,BAARC -  Add/Alter/Remodel Commercial,,,"OFFICE SPACE/ Hang and fire tape drywall in elevator shaft, like for like. No modifications to be made.

Maintain fire rating of assembly. Type X drywall typically used.",FIVE VALLEYS RESTORATION AND CLEANING LLC,500.0,0.0,,,619 SW HIGGINS AVE,,500.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00256,BAARC -  Add/Alter/Remodel Commercial,,,TOIFFER LLC/ change of use/ no construction/ VB/ M,OWNER,500.0,0.0,,,422 N HIGGINS AVE,,500.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00265,BAARC -  Add/Alter/Remodel Commercial,,,"MILE HIGH MISSOULA DISPENSARY/ Interior Only TI - Non Structural No MEP
Change of Use",APPLICANT,5000.0,0.0,,,1536 RESERVE ST,,5000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00266,BAARC -  Add/Alter/Remodel Commercial,,,"Rocky Mountain Ballet Theater / Car ran into building causing damage to exterior wall. Need to reframe wall, insulation, drywall, metal siding, flooring / REPLACING LIKE FOR LIKE",DAYSPRING RESTORATION INC,25000.0,0.0,,,2704 BROOKS ST,,25000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00267,BAARC -  Add/Alter/Remodel Commercial,,,"MOUNTAIN LINE / The renovation of various rooms and areas of a maintenance and operations facility. The work consists of the following categories of work: selective demolition, framing, finishing, flooring, suspended, acoustical ceiling, casework, mechanical, electrical, plumbing, roofing, steel stairs and handrails./ VB/ B",D LOWER CONSTRUCTION,460000.0,0.0,,,1221 SHAKESPEARE ST,,460000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00268,BAARC -  Add/Alter/Remodel Commercial,,,"MOUNTAIN LINE TRANSFER CENTER/ The renovation of various rooms and areas the MUTD's downtown transfer center. The work consists of the following categories of work: selective demolition, framing, finishing, flooring, casework, mechanical, electrical, plumbing./ VB/ B",D LOWER CONSTRUCTION,80000.0,0.0,,,200 W PINE ST,,80000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00275,BCRRS -  Reroof/Reside Commercial,,,COMMERCIAL / to remove existing TPO Membrane / to remove any wet or damaged insulation or fire board / to reinstall 60 Mill TPO Membrane after wet or damaged insulation has been replaced / INSTALL PER IBC AND LISTING / B-occupancy / 5-B contribution / one story / flat pitch / remove and replace / replace damaged and 60 mil TPO,ABOVE THE REST ROOFING,46000.0,0.0,,,1500 W BROADWAY,,46000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00283,BCRRS -  Reroof/Reside Commercial,,,"COMMERCIAL/ Tear off existing membrane roof. Install new 60 mil TPO membrane roof system over 1/4"" cover board. Install new pipe boots on all pipe penetrations. Install new, prefinished metal flashing at outer perimeter./ B occupancy/ 5-B constr / one story flat pitched roof/ remove and replace/ 60mil TPO",PROGRESSIVE SERVICES INC,35250.0,0.0,,,2200 BROOKS ST,,35250.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00284,BCRRS -  Reroof/Reside Commercial,,,"LEWIS AND CLARK ELEMENTARY SCHOOL / Remove existing roofing down to deck / replace with new 1/.2"" Insulation and 60 MIL TPO Membrane / INSTALL PER IRC AND LISTING / 0.25:12 / E occupancy / 5-B Const / flat pitch one story remove and replace 60mil TPO",SUMMIT ROOFING INC,27000.0,0.0,,,2901 PARK ST,,27000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00285,BAARC -  Add/Alter/Remodel Commercial,,,DARHMA WELLNESS/ TENANT IMPROVEMENT/ Minor renovation in Suite B./B/ IIIB,ACCESS CONTRACTING,25000.0,0.0,,,415 N HIGGINS AVE  SHELL,,25000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00286,BCRRS -  Reroof/Reside Commercial,,,"MULTIFAMILY/ remove old roof and install new asphalt shingle roof.  Will install 2 rows of ice and water shield/ INSTALL PER IRC AND LISTING/ 3:12/ VB/ R3
**PAYMENT MADE ON PERMIT 2021-MSS-RES-00774",OPEN COUNTRY BUILDERS LLC,3500.0,0.0,,,119 SOUTH AVE W,,3500.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00299,BCRRS -  Reroof/Reside Commercial,,,TOWN HOME / Remove shingles / install new drip edge ice and water on eaves / starter course felt / ridge vent and ridge cap / INSTALL PER IBC AND LISTING / 8:12 / VB / R-3 / Townhome/ 5B Const./ 8/12 pitch/ remove and replace standard shingle roofing,A & B ROOFING CO,3584.0,0.0,,,2340 #18 55TH ST,,3584.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00300,BCRRS -  Reroof/Reside Commercial,BRRRS - Reroof or Reside Residential,,"DET GARAGE / Remove shingles /  install new drip edge ice and water on eaves / starter course felt / new shingles / INSTALL PER IBC AND LISTING / 8:12 / VB / U / 8/12 pitch, garages, we would need to see dry in before cover",A & B ROOFING CO,3584.0,0.0,,,2340 #18 55TH ST,,3584.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00301,BCRRS -  Reroof/Reside Commercial,,,TOWN HOUSE / Remove shingles / install new drip edge ice and water on eaves / starter course felt / new shingles / ridge vent and ridge cap / INSTALL PER IBC AND LISTING / 8:12 / VB / R-3 / Townhome/ 5B Const./ 8/12 pitch/ remove and replace standard shingle roofing,A & B ROOFING CO,3584.0,0.0,,,2340 #19 55TH ST,,3584.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00302,BCRRS -  Reroof/Reside Commercial,,,DET GARAGE / Remove shingles / install new drip edge ice and water on eaves / starter course felt / new shingles / INSTALL PER IBC AND LISTING / 8:12 / VB / U,A & B ROOFING CO,3584.0,0.0,,,2340 #19 55TH ST,,3584.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00303,BCRRS -  Reroof/Reside Commercial,,,TOWN HOUSE / Remove shingles / install new drip edge ice and water on eaves / starter course felt / new shingles / ridge vent and ridge cap / INSTALL PER IBC AND LISTING / 8:12 / VB / R-3 / Townhome/ 5B Const./ 8/12 pitch/ remove and replace standard shingle roofing,A & B ROOFING CO,3584.0,0.0,,,2340 #20 55TH ST,,3584.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00304,BCRRS -  Reroof/Reside Commercial,,,DET GARAGE / Remove shingles / install new drip edge ice and water on eaves / starter course felt / new shingles / INSTALL PER IBC AND LISTING / 8:12 / VB / U,A & B ROOFING CO,3584.0,0.0,,,2340 #20 55TH ST,,3584.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00309,BCRRS -  Reroof/Reside Commercial,,,"4-plex/ Complete tear off of 24 sqs of roofing, reroof with 24 sqs of new Malarkey HD shingles, all new ice and water to city code, synthetic roof deck roofing paper, new cobra ridge vent and ridge cap shot on with 1 3/4 nails, all new starter strip run down and up the eves and gables, replace with new rubber pipe jack vents. Haul away all debris 4/12 pitch/ VB/ R2",FISHERS CONSTRUCTION AND LANDSCAPE,8000.0,0.0,,,1957 A-D S 08TH ST W,,8000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00310,BCRRS -  Reroof/Reside Commercial,,,COMM BLDG/REROOF/TEAR OFF/SYNTHETIC UDL/ICE & WATER/ARCH SHINGLES/SINGLE STORY/4:12/VB/B,BBM CONSTRUCTION,7400.0,0.0,,,2204 DIXON AVE,,7400.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00316,BCRRS -  Reroof/Reside Commercial,,,"COMMERCIAL/ Tearing of existing roof and reroofing with Arctic Seal ice and water, GAF Tiger PAW synthetic underlayment, and GAF Timberline HDZ shingles./ INSTALL PER IBC AND LISTING/ 6:12/ VB/ B",FISHER FAMILY CONSTRUCTION,20000.0,0.0,,,3203 RUSSELL ST,,20000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2021-MSS-RES-00243,,BAARR -  Add/Alter/Remodel Residential,,"REMODEL/Basement remodel/ VB/ R3
**decided not to pursue the ADU as previously submitted.",BROME DESIGN BUILD LLC,40000.0,0.0,,,1516-A W KENT AVE,,40000.0,0.0,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
04 - New Duplex,2021-MSS-RES-00247,,BNRDX - New Duplex,,NEW DUPLEX/ATT GARAGE/ VB/ R3,EDGELL BUILDING AND DEVELOPMENT INC,,259163.1,,681832.0,2316-A/B MARY JANE BLVD,Duplex,259163.1,422668.9,Duplex,New Construction,2,09 Data Dump,2021-09-01,September,09,2021,2022
04 - New Duplex,2021-MSS-RES-00248,,BNRDX - New Duplex,,NEW DUPLEX/ATT GARAGE/ VB/ R3,EDGELL BUILDING AND DEVELOPMENT INC,,259163.1,,681832.0,2318-A/B MARY JANE BLVD,Duplex,259163.1,422668.9,Duplex,New Construction,2,09 Data Dump,2021-09-01,September,09,2021,2022
03 - New Single Family Residential,2021-MSS-RES-00299,,BNSFR - New Single Family Residence,,NSFR/ ATT GARAGE/VB/R-3,MOSTAD CONSTRUCTION INC,,91123.25,,181083.72,3919 CHUB CT,SFR-DET,91123.25,89960.47,Single Dwelling Detached,New Construction,1,09 Data Dump,2021-09-01,September,09,2021,2022
03 - New Single Family Residential,2021-MSS-RES-00303,,BNSFR - New Single Family Residence,,NSFR/ PORCH/ VB/ R3,J BUILT HEALTHY HOMES LLC,,62998.65,,162259.5,240 E BICKFORD ST,SFR-DET,62998.65,99260.85,Single Dwelling Detached,New Construction,1,09 Data Dump,2021-09-01,September,09,2021,2022
06 - New Miscellaneous,2021-MSS-RES-00357,,BNRDG - New Detached Garage/Carport,,NEW DET GARAGE/VB/U,LM COX INC,,9002.4,,25729.44,2428 BELT BUCKLE WAY,SFR-DET,9002.4,16727.04,"Misc. (Garage, Shed, etc.)",New Construction,0,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2021-MSS-RES-00367,,BAARR -  Add/Alter/Remodel Residential,,SFR/Install New Deck in back yard/ VB/ R3,SHAMROCK CONSTRUCTION,25000.0,0.0,,,2319 GARLAND DR,,25000.0,0.0,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
03 - New Single Family Residential,2021-MSS-RES-00381,,BNSFR - New Single Family Residence,,NSFR/VB/R-3,BATEMAN BUILDING COMPANY,,90748.45,,213631.73,1966 ALVINA DR,SFR-DET,90748.45,122883.28000000001,Single Dwelling Detached,New Construction,1,09 Data Dump,2021-09-01,September,09,2021,2022
03 - New Single Family Residential,2021-MSS-RES-00450,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE/ VB/ R3,HOYT HOMES INC,,162413.7,,384841.26,216 DEAN STONE DR,SFR-DET,162413.7,222427.56,Single Dwelling Detached,New Construction,1,09 Data Dump,2021-09-01,September,09,2021,2022
03 - New Single Family Residential,2021-MSS-RES-00490,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE/ VB/ R3,CHAMBERS CUSTOM DESIGN,,78902.45,,186956.0,201 ARTEMOS DR,SFR-DET,78902.45,108053.55,Single Dwelling Detached,New Construction,1,09 Data Dump,2021-09-01,September,09,2021,2022
03 - New Single Family Residential,2021-MSS-RES-00492,,BNSFR - New Single Family Residence,,NSFR/ VB/ R3,OWNER,,69572.25,,163780.65,1743 S 12TH ST W,SFR-DET,69572.25,94208.4,Single Dwelling Detached,New Construction,1,09 Data Dump,2021-09-01,September,09,2021,2022
06 - New Miscellaneous,2021-MSS-RES-00541,,BNRDG - New Detached Garage/Carport,,NEW DET GARAGE/ VB/ U,KOACH CONSTRUCTION,,9820.8,,24468.48,505 S 06TH ST E,,9820.8,14647.68,"Misc. (Garage, Shed, etc.)",New Construction,0,09 Data Dump,2021-09-01,September,09,2021,2022
03 - New Single Family Residential,2021-MSS-RES-00552,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE/VB/R-3,EDGELL BUILDING AND DEVELOPMENT INC,,145106.55,,342943.52,5689 CATTLE DR,SFR-DET,145106.55,197836.97000000003,Single Dwelling Detached,New Construction,1,09 Data Dump,2021-09-01,September,09,2021,2022
03 - New Single Family Residential,2021-MSS-RES-00588,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE/ PARTIAL FINISHED BASEMENT/ VB/ R3,MCELMURRY HOMES INC,,105148.48,,354802.83,2748 CARLA-JO LN,SFR-DET,105148.48,249654.35000000003,Single Dwelling Detached,New Construction,1,09 Data Dump,2021-09-01,September,09,2021,2022
03 - New Single Family Residential,2021-MSS-RES-00593,,BNSFR - New Single Family Residence,,NSFR/ PARTIAL FINISHED BASEMENT/ ATT GARAGE/ VB/ R3,OWNER,,151688.13,,533989.78,3006 TRADING POST PL,SFR-DET,151688.13,382301.65,Single Dwelling Detached,New Construction,1,09 Data Dump,2021-09-01,September,09,2021,2022
03 - New Single Family Residential,2021-MSS-RES-00612,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE/ BASEMENT/ VB/ R3,LM COX INC,,111971.57,,342035.03,8126 RANCH CLUB RD,SFR-DET,111971.57,230063.46000000002,Single Dwelling Detached,New Construction,1,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2021-MSS-RES-00630,,BAARR -  Add/Alter/Remodel Residential,,SFR/Addition/ VB/ R3,SEAMANS HOME IMPROVEMENT,,27360.4,,172714.14,922 EDITH ST,,27360.4,145353.74000000002,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
03 - New Single Family Residential,2021-MSS-RES-00648,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE/ VB/ R3,STRAIGHT LINE CONSTRUCTION INC,,152953.85,,362501.47,869 ANGLERS BEND WAY,SFR-DET,152953.85,209547.61999999997,Single Dwelling Detached,New Construction,1,09 Data Dump,2021-09-01,September,09,2021,2022
06 - New Miscellaneous,2021-MSS-RES-00651,,BNRDA - New Detached Accessory Building,,NEW DET BARN/Accessory structure to single family home - associated permit numbers# 2020-MSS-RES-00792 and 2020-MSS-RES-00793,GADDY CONTRUCTION LLC,,5046.8,,12574.08,4745 DUNCAN DR,SFR-DET,5046.8,7527.28,"Misc. (Garage, Shed, etc.)",New Construction,0,09 Data Dump,2021-09-01,September,09,2021,2022
03 - New Single Family Residential,2021-MSS-RES-00658,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE/ VB/ R3,STRAIGHT LINE CONSTRUCTION INC,,126460.3,,299788.43,840 ANGLERS BEND WAY,SFR-DET,126460.3,173328.13,Single Dwelling Detached,New Construction,1,09 Data Dump,2021-09-01,September,09,2021,2022
06 - New Miscellaneous,2021-MSS-RES-00686,,BNRDG - New Detached Garage/Carport,,NEW DETACHED GARAGE/ VB/ U,BUILT WELL CONSTRUCTION,,9820.8,,24468.48,5541 CATTLE DR,SFR-DET,9820.8,14647.68,"Misc. (Garage, Shed, etc.)",New Construction,0,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2021-MSS-RES-00687,,BAARR -  Add/Alter/Remodel Residential,,"SFR/ New Siding, New Windows, Remodel Windows, Replace Cabinets, Remodel Main floor./ VB/ R3",ROYAL POINT CONSTRUCTION,150000.0,0.0,,,411 AGNES AVE,,150000.0,0.0,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2021-MSS-RES-00694,,BAARR -  Add/Alter/Remodel Residential,,SFR/ Add bathroom in unfinished portion of existing basement. Cut concrete to tie plumbing to existing cast iron sewer pipe/ VB/ R3,CLIFF KARLIN CONSTRUCTION,20000.0,0.0,,,3108 PARK ST,,20000.0,0.0,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2021-MSS-RES-00732,,BRRRS - Reroof or Reside Residential,,SFR / Reroof and underlayment / SYNTHETIC UNDERLAYMENT / INSTALLING SHINGLES / INSTALL PER IRC AND LISTING / 4:12 / VB / R-3,BBM CONSTRUCTION,7000.0,0.0,,,718 W PINE ST,,7000.0,0.0,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2021-MSS-RES-00749,,BRRRS - Reroof or Reside Residential,,"SFR / Remove existing roofing to bare decking /  install new edge metal / install new underlayment including ice & water barrier on all eaves / valleys and low slopes, install new limited lifetime architectural shingles / install new pipe boots / install new ridge cap and vent / INSTALL PER IRC AND LISTING / 5:12 / VB / R-3",DERRICK G SMITH ROOFING LLC,17745.0,0.0,,,720 HIGHLAND PARK DR,,17745.0,0.0,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2021-MSS-RES-00768,,BRRRS - Reroof or Reside Residential,,SFR/ TEAR OFF/ INSTALL PSU HT UNDERLAYMENT/ 24 GA STANDING SEAM ROOF PANEL/ INSTALL PER IRC AND LISTING/ 10:12/ VB R3,INDEPENDENT ROOFING LLC,36400.0,0.0,,,409 S CURTIS ST,,36400.0,0.0,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2021-MSS-RES-00770,,BRRRS - Reroof or Reside Residential,,SFR/ TEAR OFF/ REPLACE ICE AND WATER SHIELD/ UNDERLAYMENT/ SHINGLES/ 5:12/ RESIDE/ INSTALL PER IRC AND LISTING./ VB/ R3,OWNER,12000.0,0.0,,,2124 S 14TH ST W,,12000.0,0.0,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2021-MSS-RES-00771,,BAARR -  Add/Alter/Remodel Residential,,"SFR/ Replace Master bathroom shower, tub, vanity, toilet, and flooring. Replace kitchen cabinets and flooring, replace rear entry door. Remove partition walls and add lighting in living room/ VB/ R3.",ON CENTER RENOVATIONS,50000.0,0.0,,,4095 KALEIGH CT,,50000.0,0.0,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2021-MSS-RES-00772,,BRRRS - Reroof or Reside Residential,,SFR / Take off old shingles / put bew 30 year vista /  ice water / synthetic layment / INSTALL PER IRC AND LISTING / 8:12 / VB / R-3,NEW HORIZONS ROOFING LLC,10000.0,0.0,,,1104 TOOLE AVE,,10000.0,0.0,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2021-MSS-RES-00776,,BRRRS - Reroof or Reside Residential,,SFR / 1 arch layer / 1 story sf residential re-roof / R&R / install synthetic underlayment / install 50 yr shingle / ice and water shield / CRV / INSTALL PER IRC AND LISTING / 5:12 / VB / R-3,JARED LANGLEY ENTERPRISES INC,8000.0,0.0,,,2430 AGNES AVE,,8000.0,0.0,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
