Category,Record Number,Commercial Subtype,Residential Subtype,ADU/TED on Permit?,Work Description,Business Name,Project Cost,Job Cost Valuation,Current Valuation - Commercial,Current Valuation - Residential,Address,ADU or TED on Address?,Total Construction Valuation,Current Market Valuation,Property Type,Project Type,Property Type Order,Units,Data Dump,Date,Month,Month Number,Calendar Year,Fiscal Year
01 - Remodel Commercial,2023-MSS-COM-00101,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/STARBUCKS/REMODEL/ A-3 / VB
Renovation of existing Starbucks coffee shop.  Signage submitted under separate permit.",INDEPENDENCE CONSTRUCTION CO. OF VA,475000.0,0.0,,,2504 RESERVE ST,,475000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00111,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/MIMIS RESTAURANT/NEW TI/IIIB/A-3,DICK ANDERSON CONSTRUCTION,50000.0,0.0,,,101 S HIGGINS AVE,,50000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00118,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/OSRX/Furnish and install new cleanroom for client with new HVAC equipment to be mounted on exterior concrete pads with turndown slabs./VB/B,"CLEANSPACE MODULAR, LLC",715302.5,0.0,,,1120-E KENSINGTON AVE,,715302.5,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00124,BCRRS -  Reroof/Reside Commercial,,,2021 CODES/UM FAMILY HOUSING BLDG 9/4-PLEX/REROOF/remove existing roof shingles and underlayment.  add new asphalt shingles over 30# felt underlayment.  add ice and water shield at perimeters and valleys.  replace flashing per SMACMA standards./VB/R-2,ACE ROOFING LLC,23000.0,0.0,,,1501 CINNABAR DR,,23000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00125,BCRRS -  Reroof/Reside Commercial,,,2021 CODES/UM FAMILIY HOUSING BLDG 12/remove existing roof shingles and underlayment.  add new asphalt shingles over 30# felt underlayment.  add ice and water shield at perimeters and valleys.  replace flashing per SMACMA standards./VB/R-2,ACE ROOFING LLC,42000.0,0.0,,,1609 CINNABAR DR,,42000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00126,BCRRS -  Reroof/Reside Commercial,,,2021 CODES/UM FAMILY HOUSING BLDG 13/REROOF/remove existing roof shingles and underlayment.  add new asphalt shingles over 30# felt underlayment.  add ice and water shield at perimeters and valleys.  replace flashing per SMACMA standards./VB/R-2,ACE ROOFING LLC,46000.0,0.0,,,1705 CINNABAR DR,,46000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00139,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/UM SOCIAL SCIENCE RM 254, 258, 352, 356/REMODEL/VB/E
Renovations to Social Science classrooms 254, 258, 352, & 356.

 254 has wall demolition. 258, 352 & 356 have new lay in ceilings with new lighting.",D LOWER CONSTRUCTION,236467.0,0.0,,,1010 MANSFIELD AVE,,236467.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00140,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/GREATER GOOD HEALTH/NEW TI/VB/B,HORIZON RETAIL CONSTRUCTION,1700000.0,0.0,,,2230-110  N RESERVE ST,,1700000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00141,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/UM GILKEY CENTER RM 235/REMODEL/VB/B/E,SIRIUS CONSTRUCTION INC,48700.0,0.0,,,950 ARTHUR AVE,,48700.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00143,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/COM BLDG/REPLACE AWNING/
107 W Spruce St Valence Repair/Replacement:/VB/B/R-2",OWNER,7050.0,0.0,,,107 W SPRUCE ST,,7050.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00143,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/COM BLDG/REPLACE AWNING/
107 W Spruce St Valence Repair/Replacement:/VB/B/R-2",OWNER,7050.0,0.0,,,451 N HIGGINS AVE,,7050.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00158,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/NEW TI/Third floor tenant improvement/1B/B,SIRIUS CONSTRUCTION INC,422000.0,0.0,,,111 N HIGGINS AVE  STE 300,,422000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00170,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/PAXSON SCHOOL RM 161/Frame 2 walls, add one door to create a larger and enclosed room 161. No MEP work and no flooring or ceiling work./VB/E",OWNER,3000.0,0.0,,,101 EVANS AVE,,3000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00172,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/FRANKLIN SCHOOL RM 208A/Frame and sheetrock wall to create a new small de-escalation room. No ceiling/electrical/hvac work.  Door frame will be installed but no door will be installed./VB/E,OWNER,750.0,0.0,,,1910 S 11TH ST W,,750.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00174,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/BETHEL BAPTIST CHURCH/We want to frame a wall along the existing concrete wall downstairs in order to hang cabinets on./VB/A-3,OWNER,20000.0,0.0,,,1601 S 06TH ST W,,20000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00177,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/NORTHSIDE PED BRIDGE/REHAB/
This project generally consists of, but is not limited to, removal and replacement of masonry walls with concrete walls, demolition and replacement of concrete access ramps, interior modifications, concrete curb and gutter work, painting, and replacement of electrical systems.",JACKSON CONTRACTOR GROUP INC,2270000.0,0.0,,,501 N 1ST ST W,,2270000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
08 - New Business,2023-MSS-COM-00200,BNCON -  New Other,,,2021 CODES/FIRST SECURITY BANK MAINT-TRASH BLDG/VB/S-1/U,DICK ANDERSON CONSTRUCTION,,11960.88,38887.68,,1704 DEARBORN AVE,,11960.88,26926.800000000003,Business,New Construction,11.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00211,BCRRS -  Reroof/Reside Commercial,,,"2021 CODES/UM FAMILY HOUSING 10-PLEX/ REMOVE EXISTING SHINGLE FELT / INSTALL ICE AND WATER SHIELD / FELT UNDERLAYMENT / SHINGLE / 6:12 / INSTALL PER IBC AND LISTING/VB/R-2

ReRoof of 10 unit apartment building",ACE ROOFING LLC,21974.0,0.0,,,949 RIMINI CT,,21974.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00212,BCRRS -  Reroof/Reside Commercial,,,"2021 CODES/UM FAMILY HOUSING 10-PLEX/ REMOVE EXISTING SHINGLE FELT / INSTALL ICE AND WATER SHIELD / FELT UNDERLAYMENT / SHINGLE / 7:12 / INSTALL PER IBC AND LISTING/VB/R-2

ReRoof of 10 unit apartment building",ACE ROOFING LLC,21974.0,0.0,,,944 RIMINI CT,,21974.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00213,BCRRS -  Reroof/Reside Commercial,,,"2021 CODES/UM FAMILY HOUSING COMMUNITY CENTER/ REMOVE EXISTING SHINGLE FELT / INSTALL ICE AND WATER SHIELD / FELT / MALARKEY SHINGLES / INSTALL PER IBC AND LISTING / 6:12/VB/A-3

ReRoof of UM family housing community center",ACE ROOFING LLC,21621.0,0.0,,,3 ELKHORN CT,,21621.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00219,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/UNIT I-33/Replace water damaged drywall, insulation, paint, flooring, trim.",DAYSPRING RESTORATION INC,6023.0,0.0,,,2200 GREAT NORTHERN AVE,,6023.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00223,BCRRS -  Reroof/Reside Commercial,,,4-PLEX / Remove old roofing / Install 1/4 inch dens deck board / Install 60 mill TPO membrane / Install term bar over all edges / INSTALL ICE AND WATER SHIELD / INSTALL PER IBC AND LISTING / 0.5:12 / VB / R-1,IVANS ROOFING AND CONSTRUCTION LLC,22425.0,0.0,,,2121 CHARLOTT AVE,,22425.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00224,BCRRS -  Reroof/Reside Commercial,,,COM / Take off top layer of T.P.O. / Leave in place existing cover boards and insulation / 60MIL T.P.O. Mechanical Attached / Termination bar to inside walls / INSTALL PER IBC AND LISTING / 0.5:12 / VB / B,INDEPENDENT ROOFING LLC,23000.0,0.0,,,420 B N HIGGINS AVE,,23000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00230,BCRRS -  Reroof/Reside Commercial,,,4-PLEX / Supply and install steel siding to home / including FP-38 insulation / window and door trim / soffit and fascia / replace seven windows / VB / R-1,ABC SEAMLESS OF MONTANA,14000.0,0.0,,,2348 MARY AVE,,14000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00232,BCRRS -  Reroof/Reside Commercial,,,"BIG SKY MOTORSPORTS / 12,370 SF re roof / Remove and dispose of existing membrane / Inspect existing insulation for damage / Install 60 mil TPO by mechanically attaching / New flashings for walls, pipes, and vents / New 24 gauge Prefinished edge metal, gutter and downspouts / Install new 24 gauge parapet coping / INSTALL PER IBC AND LISTING / 0.25:12 / VB / B",SUMMIT ROOFING INC,69000.0,0.0,,,2315 SOUTH AVE W,,69000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00233,BCRRS -  Reroof/Reside Commercial,,,"4-PLEX / Remove and dispose of existing roofing / Install 1/2"" protection insulation, over full taper insulation / Install 60 mil TPO by mechanically attaching / New flashings for drains, pipes, and vents / New 24 gauge Prefinished edge metal / INSTALL PER IBC AND LISTING / 0.25:12 / VB / R-2",SUMMIT ROOFING INC,30500.0,0.0,,,3100 GARFIELD ST,,30500.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00069,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE//VB/R-3,HAYDEN HOMES LLC,,73250.0,,263611.79,2537 CONCHO WAY,SFR-DET,73250.0,190361.78999999998,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00164,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/,BTW INC,91193.25,91193.25,,326288.75,2503 CHUCK WAGON DR,SFR-DET,182386.5,143902.25,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
06 - New Miscellaneous,2023-MSS-RES-00172,,BNRDG - New Detached Garage/Carport,,2021 CODES/NEW DET GARAGE/VB/U,SCARIANO CONSTRUCTION INC,,12490.24,,44650.9,436 S 03RD ST W,,12490.24,32160.660000000003,"Misc. (Garage, Shed, etc.)",New Construction,9.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00190,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Replace Deck in same footprint as old deck. New helical piers/Replace front asphalt driveway in same footprint as existing./VB/R-3,KASBERG SIDING AND REMODEL,20500.0,0.0,,,175 PENLAND WAY,,20500.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
06 - New Miscellaneous,2023-MSS-RES-00216,,BNRDG - New Detached Garage/Carport,,2021 CODES/NEW DET GARAGE-STUDIO-OFFICE/VB/R-3/U,JASON LONSKI CONSTRUCTION HISTORIC PRESERVATION,,85760.22,,260613.04,1139 CHERRY ST,,85760.22,174852.82,"Misc. (Garage, Shed, etc.)",New Construction,9.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00233,,BAARR -  Add/Alter/Remodel Residential,ADU,2021 CODES/DET GARAGE/ADD ADU/VB/R-3/U,BBM CONSTRUCTION LLC,,17990.4,,64271.69,1727 STODDARD ST,ADU,17990.4,46281.29,ADU,New Construction,99.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00247,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/SFR/Bathroom remodel - Tub to Tub Conversion - Main Hall Bath - There are no changes to the layout.
Will replace wall surround in wet area; will put up greenboard behind acrylic panels.
Will check exterior walls for vapor barrier and proper insulation",YOUR HOME IMPROVEMENT COMPANY LLC,7000.0,0.0,,,3025 QUEEN ST,,7000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00250,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Bathroom remodelVB/R-3,YOUR HOME IMPROVEMENT COMPANY LLC,8500.0,0.0,,,233 MCLEOD AVE,,8500.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00253,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,SCARIANO CONSTRUCTION INC,,140631.1,,504264.48,304 SPANISH PEAKS DR,SFR-DET,140631.1,363633.38,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00280,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3,GARY NASH CONSTRUCTION INC,,82761.19,,296478.92,4497 HARRISON SCOTT DR,SFR-DET,82761.19,213717.72999999998,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00312,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Repairing and enlarging an existing deck in backyard./VB/R-3,OWNER,5000.0,0.0,,,2232 E SUMMIT DR,,5000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00314,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,GARY NASH CONSTRUCTION INC,,88581.33,,327166.8,4461 HARRISON SCOTT DR,SFR-DET,88581.33,238585.46999999997,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00327,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Bathroom remodel/VB/R-3,YOUR HOME IMPROVEMENT COMPANY LLC,8000.0,0.0,,,53 BROOKSIDE,,8000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00330,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Bahtroom remodel /VB/R-3,YOUR HOME IMPROVEMENT COMPANY LLC,8200.0,0.0,,,6640 LINDA VISTA BLVD,,8200.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00335,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Bathroom remodel/VB/R-3,YOUR HOME IMPROVEMENT COMPANY LLC,17800.0,0.0,,,5701 MAINVIEW DR,,17800.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00359,,BRRRS - Reroof or Reside Residential,,"2021 CODES/SFR/REROOF/Remove existing roofing to bare decking, install new edge metal, install new underlayment including ice & water barrier on all eaves and valleys, install new limited lifetime architectural shingles, install new ridge vent and cap./PER IRC & LISTING/TWO STORY/10:12/VB/R-3",DERRICK G SMITH ROOFING LLC,18540.0,0.0,,,1331 BRIDGECOURT WAY,,18540.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00364,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Build new deck at front of house/VB/R-3,WILD WOOD CONSTRUCTION,24700.0,0.0,,,308 WHITAKER DR,,24700.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00379,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/SFR/Kitchen, Pantry and Laundry Remodel/VB/R-3",RIVER CITY BUILDERS LLC,257775.0,0.0,,,2775 WINDING TRAILS DR,,257775.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
