Category,Record Number,Commercial Subtype,Residential Subtype,ADU/TED on Permit?,Work Description,Business Name,Project Cost,Job Cost Valuation,Current Valuation - Commercial,Current Valuation - Residential,Address,ADU or TED on Address?,Total Construction Valuation,Current Market Valuation,Property Type,Project Type,Units,Data Dump,Date,Month,Month Number,Calendar Year,Fiscal Year
05 - New MultiFamily,2024-MSS-COM-00084,BNMRB - New Multifamily 5+ Units,,6,2021 CODES/SNOWFARM BLDG 6 WEST/NEW 6-PLEX/VB/R-2,HEADWATERS CONSTRUCTION COMPANY,,496184.78,,1622172.0,4265 O'LEARY ST,MFR-APT,496184.78,1125987.22,Multi-Dwelling Apartment,New Construction,6,07 Data Dump,2024-07-01,July,07,2024,2025
05 - New MultiFamily,2024-MSS-COM-00086,BNMRB - New Multifamily 5+ Units,,12,2021 CODES/SNOWFARM BLDG E/NEW 12-PLEX/VB/R-2,HEADWATERS CONSTRUCTION COMPANY,,567389.06,16229062.389999999,1854959.77,2150 SAGEBRUSH RD,MFR-APT,567389.06,17516633.1,Multi-Dwelling Apartment,New Construction,12,07 Data Dump,2024-07-01,July,07,2024,2025
05 - New MultiFamily,2024-MSS-COM-00089,BNMRB - New Multifamily 5+ Units,,12,2021 CODES/SNOWFARM/BLDG G/NEW 12-PLEX/VB/R-2,HEADWATERS CONSTRUCTION COMPANY,,567389.06,,1854959.77,2130 SAGEBRUSH RD,MFR-APT,567389.06,1287570.71,Multi-Dwelling Apartment,New Construction,12,07 Data Dump,2024-07-01,July,07,2024,2025
05 - New MultiFamily,2024-MSS-COM-00090,BNMRB - New Multifamily 5+ Units,,12,2021 CODES/BLDG H/NEW 12-PLEX/VB/R-2,HEADWATERS CONSTRUCTION COMPANY,,567389.06,,1854959.77,2120 SAGEBRUSH RD,MFR-APT,567389.06,1287570.71,Multi-Dwelling Apartment,New Construction,12,07 Data Dump,2024-07-01,July,07,2024,2025
05 - New MultiFamily,2024-MSS-COM-00091,BNMRB - New Multifamily 5+ Units,,12,2021 CODES/SNOWFARM/BLDG I/NEW 12-PLEX/VB/R-2,HEADWATERS CONSTRUCTION COMPANY,,567389.06,,1854959.77,2110 SAGEBRUSH RD,MFR-APT,567389.06,1287570.71,Multi-Dwelling Apartment,New Construction,12,07 Data Dump,2024-07-01,July,07,2024,2025
05 - New MultiFamily,2024-MSS-COM-00093,BNMRB - New Multifamily 5+ Units,,12,2021 CODES/SNOWFARM BLDG K/NEW 12-PLEX/VB/R-2,HEADWATERS CONSTRUCTION COMPANY,,567389.06,,1854959.77,2115 SAGEBRUSH RD,MFR-APT,567389.06,1287570.71,Multi-Dwelling Apartment,New Construction,12,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00107,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/RATTLESNAKE CREEK DISTILLERY/No construction needed, Change of use only/",OWNER,1.0,0.0,,,2120 DIXON AVE,,1.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00112,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/UM LIBERAL ARTS PH 7/REMODEL/VB/E

THE WORK INCLUDED IN THIS PROJECT APPLIES TO THE FIRST FLOOR OF THE LIBERAL ARTS BUILDING LOCATED ON THE UNIVERSITY OF MONTANA CAMPUS. NO CHANGES IN OCCUPANCY OCCUR WITHIN THE EXISTING LEVELS OF THIS BUILDING. THE BUILDING IS EQUIPPED WITH A FIRE ALARM AND SPRINKLER SYSTEM. AREA OF WORK IS OUSIDE OF FIRE SPRINKLER AREA. THE SCOPE OF THIS PROJECT IS LIMITED TO INTERIOR PARTITIONS AND FINISHES. NO CHANGE IN OCCUPANCY OR USE.

WORK INCLUDED IN THE PROJECT INCLUDES THE FOLLOWING:
• AT LEVEL ONE CENTRAL WING, DEMOLISH EXISTING INTERIOR WALLS AND DOORS IN DEAN'S SUITE - ROOM 136, 136A-E, 137, 138C & 138D.
• AT LEVEL ONE CENTRAL WING, ADD NEW INTERIOR WALLS AND DOORS IN DEAN'S SUITE
• MECHANICAL AND ELECTRICAL WORK TO SUPPORT THIS SCOPE OF WORK AS SHOWN IN MECHANICAL AND ELECTRICAL DRAWINGS

OWNER CONSULTANT DRAWINGS AND SPECIFICATIONS PROVIDED IN SET FOR CONVENIENCE AND COORDINATION ONLY.",SIRIUS CONSTRUCTION INC,348500.0,0.0,,,725 DALY AVE,,348500.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00114,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/MSO AIRPORT/PHASE 2 TERMINAL/expansion of level 2 east concourse and level 1 tug circulation spaces/VB/A-3/B,MARTEL CONSTRUCTION INC,6890741.0,0.0,,,5225 10 HWY W,,6890741.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00115,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/VERIZON WIRELESS/INTERIOR REMODEL/VB/M,SCHEINER COMMERCIAL GROUP INC,345000.0,0.0,,,2950 N RESERVE ST,,345000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00121,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/UM GALLAGHER RM 108/Remodel of existing classroom in UM Gallagher Business school.  Demo existing a/v equipment and rigging.  New carpet, paint, ceiling tiles, new interior window.  New Led light fixtures and control.  New video wall, new power & data for new furniture./VB/E",SIRIUS CONSTRUCTION INC,149000.0,0.0,,,925 MAURICE AVE,,149000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00122,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/COM BLDG/Repair exterior brick pillar./VB/B,BUILT WELL CONSTRUCTION,8449.75,0.0,,,1410 RESERVE ST   STE A,,8449.75,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00128,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/UM FORESTRY ROOMS 106, 206, 301/Interior renovations to classrooms 106,206,301/VB/E",D LOWER CONSTRUCTION,68000.0,0.0,,,1310 MADELINE AVE,,68000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00129,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/420 THE LOCAL MISSOULA DISPENSARY/CHANGE OF USE/NO CONSTRUCTION/VB/M,OWNER,1.0,0.0,,,345-A W FRONT ST,,1.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00138,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/MULTI-FAMILY/Framing of stairs, studs due to fire/replace and repair like items/Items to repair to complete fire mitigation/VB/R-2

UPDATE/REVISION IN SCOPE OF WORK: INSTALLATION OF NEW ROOF TRUSSES, ROOF SHEATHING AND COVERING. FASTENING OF ROOF TRUSSES AND SHEATHING SHALL COMPLY WITH IBC  REQUIREMENTS AND LATERAL SUPPORT.  INSPECTOR CAN OR MAY REQUIRE ADDITIONAL INFORMATION AND/OR VERIFICATION FROM THE ENGINEER UPON DETERMINATION 
DURING SITE VISIT. 
ENGINEER STRUCTURAL EVALUATION SHALL BE AVAILABLE ON SITE AND FOR INSPECTION. 

REPAIR. ASSUMED LIKE FOR LIKE MATERIAL REPLACEMENT. BUILDING INSPECTORS WILL FIELD VERIFY COMPLIANCE. APPLICANT/OWNER SHOULD BE AWARE THAT THIS PROJECT COULD REQUIRE PROFESSIONAL ENGINEER OR ARCHITECT INVOLVEMENT AT THE DISCRETION OF THE BUILDING OFFICIAL OR BUILDING INSPECTOR.",SERVPRO OF MISSOULA,15000.0,0.0,,,1032 YREKA CT,,15000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00147,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/ROXY ANNEX/Change of use/Create a doorway between two interior spaces/VB/B,"ARROWLEAF CONSTRUCTION, LLC",5000.0,0.0,,,736 S HIGGINS AVE,,5000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00154,BNMRA - New Multifamily 3-4 Units,,,"MULTI- FAM 4 PLEX / Remove existing tpo roof and dens deck. Install new dens deck, tpo and edge metal / INSTALL PER IBC AND LISTING / 1:12 / VB / R2",R AND R ROOFING SPECIALTIES,26437.0,0.0,,,1313 101 CATLIN ST,,26437.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00165,BCRRS -  Reroof/Reside Commercial,,,MULTI FAM - 4+UNITS / Repair of Flat Upper area only. About 200 sq. ft. / Remove old roofing to wood deck / ½” HD Board / 12 Fasteners per sheet / Install 60MIL Single Ply Membrane / Install new edge metal / INSTALL PER IBC AND LISTING / OBSERVE LOW SLOPE REQUIREMENTS / 1:12 / VB / R2,INDEPENDENT ROOFING LLC,5000.0,0.0,,,340 JEFFERSON ST,,5000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00175,BCRRS -  Reroof/Reside Commercial,,,EAGLES LODGE / Remove existing shingles and underlayment / Install full ice/water / underlayment / Install asphalt shingles per code / INSTALL PER IBC AND LISTING / OBSERVE LOW SLOPE REQUIREMENTS / 3:12 / VB / B,MIGHTY DOG ROOFING 157,35000.0,0.0,,,2420 SOUTH AVE W,,35000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00176,BCRRS -  Reroof/Reside Commercial,,,"Millennium Real Estate & Management, LLC / Remover existing membrane from roof / repair any deficiencies and replace with new membrane / then seal all curbs / penetrations, and edges / INSTALL PER IBC AND LISTING / OBSERVE LOW SLOPE REQUIREMENTS / 1:12 / VB / B",SCHROCK COMMERCIAL ROOFING INC,35000.0,0.0,,,1205 S HIGGINS AVE,,35000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00177,BCRRS -  Reroof/Reside Commercial,,,"MISSOULA COUNTY ELECTIONS / We Will remove old shingles and install new 30year roof / we will install ice and water shield and synthetic underlayment / INSTALL PER IBC AND LISTING / OBSERVE LOW SLOPE REQUIREMENTS / 3:12 / VB / B

LAP UNDERLAYMENT 19 INCHES FOR ASPHALT SHINGLE APPLICATION ON ROOFS WITH SLOPES 2:12 UP TO 4:12. IWP IS REQUIRED AS PRESCRIBED IN CODE. ASPHALT SHINGLES CANNOT BE INSTALLED ON SLOPES LESS THAN 2:12.",OPEN COUNTRY BUILDERS LLC,49000.0,0.0,,,140 N RUSSELL ST,,49000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00178,BCRRS -  Reroof/Reside Commercial,,,MULTI FAM - 6 PLEX / We will replace the roof with a new shingle asphalt roof. We will install all new underlayment and ice and water shield / INSTALL PER IBC AND LISTING / 4:12 / VB / R2,OPEN COUNTRY BUILDERS LLC,1600.0,0.0,,,403 SW HIGGINS AVE,,1600.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00184,BCRRS -  Reroof/Reside Commercial,,,SPORTSMAN WAREHOUSE / Install 1/2 inch Ultra recover board / Install 60 mill TPO membrane Mechanically fastened / INSTALL PER IBC AND LISTING / OBSERVE LOW SLOPE REQUIREMENTS / .25:12 / VB / B,IVANS ROOFING AND CONSTRUCTION LLC,380000.0,0.0,,,2323 N RESERVE ST,,380000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00189,BCRRS -  Reroof/Reside Commercial,,,ALBERTSONS / Slice existing roofing membrane per manufacturer requirement / Install new ½” HD Board. 8 Fasteners per board / Install new 60MIL TPO / Mechanical Attachment / Walk pad at units and hatch / Cricket in S.W. corner / New clad scuppers / New wood blocking under piping / Two small entryway roofs are included/ INSTALL PER IBC AND LISTING / OBSERVE LOW SLOPE REQUIREMENTS / 1:12 / VB / B,INDEPENDENT ROOFING LLC,279000.0,0.0,,,2230 N RESERVE ST,,279000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00194,BCRRS -  Reroof/Reside Commercial,,,"PARTNERSHIP HEALTH CENTER / Roof removal and replacement / 1/2"" HIGH DENISTY IOS / NO ICE AND WATER SHIELD / 60 MIL JM BRAND TPO MEMBRANE / INSTALL PER IBC AND LISTING / OBSERVE LOW SLOPE REQUIREMENTS / 0:12 / VB / B",SCHROCK COMMERCIAL ROOFING INC,83089.0,0.0,,,323 W ALDER ST,,83089.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2024-MSS-RES-00082,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW TOWNHOME/ATT GARAGE//VB/R-3/U,SOLAR PLEXUS LLC,,99810.65,,356493.6,2216 S 12TH ST W,SFR-DET,99810.65,256682.94999999998,Single Dwelling Detached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2024-MSS-RES-00093,,BNSFT - New Single Family Townhouse,TED,"2021 CODES/NEW SFR/ATT GARAGE/VB/R-3/U
REVIEWED AS AN SFR. DOES NOT MEET IRC DEFINITION OF TOWNHOUSE",SOLAR PLEXUS LLC,,99048.89,,356493.6,2212 S 12TH ST W,SFR-DET,99048.89,257444.70999999996,Single Dwelling Detached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2024-MSS-RES-00094,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW SFR/ATT GARAGE/REVIEWED AS SFR-NOT A TOWNHOUSE PER IRC/VB/R-3/U,SOLAR PLEXUS LLC,,99048.89,,356493.6,2210 S 12TH ST W,SFR-DET,99048.89,257444.70999999996,Single Dwelling Detached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2024-MSS-RES-00095,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW SFR/ATT GARAGE/NEW SFR - NOT REVIEWED AS TOWNHOUSE PER IRC/VB/R-3/U,SOLAR PLEXUS LLC,,99048.89,,356493.6,2214 S 12TH ST W,SFR-DET,99048.89,257444.70999999996,Single Dwelling Detached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2024-MSS-RES-00108,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,3GEN BUILDERS LLC,,111006.45,,399087.03,7026 MAX DR,SFR-DET,111006.45,288080.58,Single Dwelling Detached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
04 - New Duplex,2024-MSS-RES-00111,,BNRDX - New Duplex,ADU,2021 CODES/NEW DUPLEX (SFR + MIL APT)/VB/R-3,MACA CONSTRUCTION,,88827.6,,317333.52,1927-A/B CHARLOTT AVE,Duplex,88827.6,228505.92,Duplex,New Construction,2,07 Data Dump,2024-07-01,July,07,2024,2025
06 - New Miscellaneous,2024-MSS-RES-00132,,BNRDG - New Detached Garage/Carport,,2021 CODES/NEW DET GARAGE/VB/U,OWNER,,19948.5,,75097.15,207 E KENT AVE,,19948.5,55148.649999999994,"Misc. (Garage, Shed, etc.)",New Construction,0,07 Data Dump,2024-07-01,July,07,2024,2025
02 - Remodel Residential,2024-MSS-RES-00142,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/SFR/ADDITION/REMODEL/VB/R-3/U
Rev 01 - 08/23/2024: 7/22/24 REVISON TO ROOF STRUCTURE AND LAYOUT CHANGES",SCARIANO CONSTRUCTION INC,1380000.0,0.0,,,4591 HEAVEN'S GATE,,1380000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2024-MSS-RES-00145,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,HAYDEN HOMES LLC,,73389.39,,263960.4,5562 HORN RD,SFR-DET,73389.39,190571.01,Single Dwelling Detached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2024-MSS-RES-00157,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,HAYDEN HOMES LLC,,71429.95,,256182.51,2542 CHUCK WAGON DR,SFR-DET,71429.95,184752.56,Single Dwelling Detached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2024-MSS-RES-00238,,BNSFR - New Single Family Residence,ADU,2021 CODES/NEW ADU/VB/R-3,OWNER,,66955.93,,236474.7,1445 HARRISON ST,ADU,66955.93,169518.77000000002,ADU,New Construction,0,07 Data Dump,2024-07-01,July,07,2024,2025
02 - Remodel Residential,2024-MSS-RES-00272,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/SFR/Remodel of the first floor of a single-story, single-family residence/VB/R-3",CONFLUENCE CONSTRUCTION LLC,400000.0,0.0,,,720 COTTONWOOD ST,SFR-DET,400000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
02 - Remodel Residential,2024-MSS-RES-00290,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/ADDITION/REMODEL/VB/R-3/U,AYERS CONSTRUCTION,850000.0,0.0,,,255 W SUSSEX AVE,,850000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
06 - New Miscellaneous,2024-MSS-RES-00319,,BNRDG - New Detached Garage/Carport,,2021 CODES/NEW DET GARAGE/VB/U,CONFLUENCE CONSTRUCTION LLC,,11517.44,,43723.68,720 COTTONWOOD ST,SFR-DET,11517.44,32206.239999999998,"Misc. (Garage, Shed, etc.)",New Construction,0,07 Data Dump,2024-07-01,July,07,2024,2025
02 - Remodel Residential,2024-MSS-RES-00331,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/SFR/Add 2 basement egress windows, 30x48"", and 2 54"" metal egress widow wells/VB/R-3",DEPUY BUILDING LLC,8000.0,0.0,,,1804 DIXON AVE,,8000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
02 - Remodel Residential,2024-MSS-RES-00336,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/SFR/Replace cabinets, relocate fridge, range, add electrical outlets. cut into bearing wall between living room and kitchen to add a breakfast bar / VB / R-3",GREENLADDER CONTRACTORS,30737.0,0.0,,,606 OVERLOOK WAY,,30737.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
02 - Remodel Residential,2024-MSS-RES-00361,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/REPLACE DET GARAGE/Replace existing stand alone garage with a garage of same size and scale on the existing foundation, but changing orientation of roof 90 degrees and enclosing previously open carport./VB/U",OWNER,,9752.6,,38025.07,2726 HIGHLAND DR,,9752.6,28272.47,"Misc. (Garage, Shed, etc.)",New Construction,0,07 Data Dump,2024-07-01,July,07,2024,2025
02 - Remodel Residential,2024-MSS-RES-00362,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/SFR/rebuilding trex deck, 308 sq. ft. fortress railing with stairs and handrail/VB/R-3",MOUNTAIN VIEW DECKS,39500.0,0.0,,,102 PINEHURST CT,,39500.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
04 - New Duplex,2024-MSS-RES-00365,,BNRDX - New Duplex,,2021 CODES/NEW DUPLEX/ATT GARAGE/VB/R-2/U,SILVERFERN,,261630.1,,939231.42,"511 SHERWOOD ST
APTS A/B",Duplex,261630.1,677601.3200000001,Duplex,New Construction,2,07 Data Dump,2024-07-01,July,07,2024,2025
02 - Remodel Residential,2024-MSS-RES-00371,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/SFR/LOWER EXISTING BASEMENT FLOOR TO INCREASE HEAD ROOM.  FINISH BASEMENT, ADD 1 EGRESS WINDOW. ADD A 1/2 BATHROOM.  WALL IN HRV SYSTEM AND WATER HEATER.  WALL IN FURNACE.  ADD STRCUTURAL ELEMENTS PER ENGINEERED PLANS/VB/R-3",CONFLUENCE CONSTRUCTION LLC,250000.0,0.0,,,535 S 04TH ST W,,250000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
