Category,Record Number,Commercial Subtype,Residential Subtype,ADU/TED on Permit?,Work Description,Business Name,Project Cost,Job Cost Valuation,Current Valuation - Commercial,Current Valuation - Residential,Address,ADU or TED on Address?,Total Construction Valuation,Current Market Valuation,Property Type,Project Type,Units,Data Dump,Date,Month,Month Number,Calendar Year,Fiscal Year
03 - New Single Family Residential,2021-MSS-RES-00791,,BNSFR - New Single Family Residence,,NSFR/ATTACHED GARAGE/ VB/ R3,SS PROPERTY SOLUTIONS INC,,86199.0,,203526.18,926 TURNER ST,SFR-DET,86199.0,117327.18,Single Dwelling Detached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2021-MSS-RES-00792,,BNSFR - New Single Family Residence,,NSFR/ALLEY HOUSE/ GARAGE/ VB/ R3,SS PROPERTY SOLUTIONS INC,,86199.0,,203526.18,928 TURNER ST,SFR-DET,86199.0,117327.18,Single Dwelling Detached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2021-MSS-RES-01010,,BNSFT - New Single Family Townhouse,,NSFR/ ATT GARAGE/VB/R-3,MOSTAD CONSTRUCTION INC,,95055.25,,248170.61,2389 38TH ST,SFR-DET,95055.25,153115.36,Single Dwelling Detached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00032,BAARC -  Add/Alter/Remodel Commercial,,,COMM BLDG/Change of Use: B to M designation/VB/M,OWNER,1.0,0.0,,,1520 RUSSELL ST,,1.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00064,BAARC -  Add/Alter/Remodel Commercial,,,COMM BLDG FACADE/Exterior only facade renovation/VB/B,PEW CORPORATION,132650.0,0.0,,,1901 S HIGGINS AVE,,132650.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00069,BAARC -  Add/Alter/Remodel Commercial,,,MISSOULA COUNTY FAIRGROUNDS FAIR WAY ENTRANCE/Remove and replace existing Fair Way entrance at the Missoula County Fairgrounds with new entrance/VB/U,JACKSON CONTRACTOR GROUP INC,60000.0,0.0,,,1101 SOUTH AVE W,,60000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00072,BAARC -  Add/Alter/Remodel Commercial,,,ACE HARDWARE/Remodel existing spaces within Eastgate Shopping Center to Expand the ACE Hardware store. Remodel Facade of building to match East side. Add Bulbout in front of building for product placement./VB/M,PRICE CONSTRUCTION LLC,625000.0,0.0,,,905 E BROADWAY,,625000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00091,BCRRS -  Reroof/Reside Commercial,,,"28-PLEX / Remove existing roofing material / install wood nailer on perimeter to meet insulation / install two layers 2.6"" polyiso rigid insulation / install 1/4"" Densdeck / install 60 mil tpo membrane / gravel stop metal and pressure sensitive cover tape on perimeter / remove debris / INSTALL PER IBC AND LISTING / 0.25:12 / VB / R-2",MILLER ROOFING INC,127980.0,0.0,,,130 W KENT AVE,,127980.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
08 - New Business,2022-MSS-COM-00106,BNCON -  New Other,,,CHEAP CHARLEYS MINI STORAGE BLDG W/NEW MINI STORAGE/IIB/S-1,CARL CONSTRUCTION INC,,315840.0,1887802.0,,6400 KESTREL CT,,315840.0,1571962.0,Business,New Construction,0,07 Data Dump,2022-07-01,July,07,2022,2023
08 - New Business,2022-MSS-COM-00107,BNCON -  New Other,,,CHEAP CHARLEYS MINI STORAGE BLDG T/NEW MINI STORAGE/IIB/S-1,CARL CONSTRUCTION INC,,102528.0,602619.0,,6400 KESTREL CT,,102528.0,500091.0,Business,New Construction,0,07 Data Dump,2022-07-01,July,07,2022,2023
08 - New Business,2022-MSS-COM-00108,BNCON -  New Other,,,CHEAP CHARLEYS MINI STORAGE BLDG V/NEW MINI STORAGE/IIB/S-1,CARL CONSTRUCTION INC,,119040.0,699670.0,,6400 KESTREL CT,,119040.0,580630.0,Business,New Construction,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00117,BAARC -  Add/Alter/Remodel Commercial,,,"IMAGING CENTER OF MONTANA/NEW TI/CHANGE OF USE/ VB / B
Change of use from bank to MRI Medical Office
Renovate existing building
Enclose what used to be the bank drive-through.
No site work (except under existing bank canopy, if you count under-roof space)",DALTON CONSTRUCTION,250000.0,0.0,,,1510 RESERVE ST,,250000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
08 - New Business,2022-MSS-COM-00130,BNCNB -  New Other Than Building,,,WWTP SOLAR SYSTEM/Installation of 545.1 kW ground mounted solar PV system/VB/U,ONSITE ENERGY INC,939578.0,0.0,,,1100 CLARK FORK DR,,939578.0,0.0,Business,New Construction,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00133,BAARC -  Add/Alter/Remodel Commercial,,,"DCI ENGINEERS/Tenant finish of existing space at main level/IIIB/B.  The 1,810-SF space will be incorporated in to the business activities of DCI Engineers (currently located at 131 W. Main).  The scope of work includes replacing existing incandescent ceiling light fixtures with energy efficient LED fixtures with emergency backup lighting option.  Move electrical fixtures for proper new locations as noted on the remodel plan.  Install a new front entry door that swings outward to provide a safer and compliant egress.  Install an new 5-ft wide egress opening between 135 W. Main and 131 W. Main to provide safe egress for staff that will be using both building spaces.  Trim and walls will be painted.  Flooring will be repaired as needed in damaged areas.  No plumbing work in scope.  Affidavits by both landlords (131 and 135 W. Main) are included allowing tenant (DCI Engineers) to provide egress opening between buildings.  Unprotected egress opening is allowed per exception 706.1.1 of the IBC.  Per section 506.2.3, allowable area is 18,540 SF, while the actual combined area of both buildings is 15,668 SF.",DICK ANDERSON CONSTRUCTION,20000.0,0.0,,,135 W MAIN ST,,20000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00134,BAARC -  Add/Alter/Remodel Commercial,,,CLOUD LLC/INTERIOR REMODEL/IIB/F-1/S-1/M,J E M HOME IMPROVEMENT AND CUSTOM CARPENTARY,17923.18,0.0,,,2604 W BROADWAY,,17923.18,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00139,BCRRS -  Reroof/Reside Commercial,,,EXPRESSWAY BLDG B / Remove existing roofing to bare decking / install new edge metal / install new underlayment including ice & water barrier on all eaves and valleys / and synthetic paper elsewhere / install new limited lifetime architectural shingles / install new pipe boots / install new ridge vent and cap / INSTALL PER IBC AND LISTING / 6:12 / VB / R-2,DERRICK G SMITH ROOFING LLC,53360.0,0.0,,,4206 EXPRESSWAY,,53360.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00141,BCRRS -  Reroof/Reside Commercial,,,COMMERCIAL / Remove existing roofing to bare decking / install new edge metal / install new underlayment including ice & water barrier on all eaves and valleys / and synthetic paper elsewhere / install new limited lifetime architectural shingles / install new pipe boots / install new ridge vent and cap / INSTALL PER IBC AND LISTING / 6:12 / VB / R-2,DERRICK G SMITH ROOFING LLC,63450.0,0.0,,,4332 EXPRESSWAY,,63450.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00175,BCRRS -  Reroof/Reside Commercial,,,"APT BLDG / Remove & Replace 30# Felt / replace with 30-Year, Malarkey Shingle / Malarkey #1030 Synthetic underlayment / Malarkey Artic ice & Water Shield / INSTALL PER IBC AND LISTING / 9:12 / VB / R-2",RHINO ROOFING,16000.0,0.0,,,1811 A/B/C/D  COOLEY ST,,16000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00181,BAARC -  Add/Alter/Remodel Commercial,,,"COMM BLDG/Replace water damaged insulation, drywall, paint, ceiling tile,flooring.",DAYSPRING RESTORATION INC,28125.0,0.0,,,4500 EXPRESSWAY,,28125.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00184,BCRRS -  Reroof/Reside Commercial,,,"COM BLDG / replace roof / INSTALL ICE AND WATER SHIELD / INSTALL PER IBC AND LISTING / 2:12 / VB / R-2

DOUBLE UNDERLAYMENT IS REQUIRED FOR ASPHALT SHINGLES INSTALLED ON ROOFS WITH SLOPES LESS THAN 4:12.",RATTLESNAKE CONSTRUCTION & INVESTMENTS LLC,25000.0,0.0,,,1500 RUSSELL ST,,25000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00186,BCRRS -  Reroof/Reside Commercial,,,"8 UNIT CONDO / Remove & Replace 30# Felt / replace with 30-Year, Malarkey Shingle / Malarkey #1030 Synthetic underlayment / Malarkey Artic ice & Water Shield / INSTALL PER IBC AND LISTING / 6:12 / VB / R-2",RHINO ROOFING,50000.0,0.0,,,5100 1 VILLAGE VIEW WAY,,50000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00187,BCRRS -  Reroof/Reside Commercial,,,"GARAGES/STORAGE UNIT / Remove & Replace 30# Felt / replace with 30-Year, Malarkey Shingle / Malarkey #1030 Synthetic underlayment / Malarkey Artic ice & Water Shield / INSTALL PER IBC AND LISTING / 5:12 / VB / U",RHINO ROOFING,5000.0,0.0,,,5108 VILLAGE VIEW WAY   MASTER,,5000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00192,BCRRS -  Reroof/Reside Commercial,,,"KIDZOOLA THERAPY CENTER / Metal Section / Remove existing metal panel only - leave sub-roof / Install 1.5” Poly ISO Coverboard / Install new 60 Mil IB PVC Membrane / 
Install new PVC clad metal edge terminations / Install new PVC clad snow breaks as needed / Membrane section / Remove existing membrane / Replace cover board as needed / Install new 60 Mil PVC membrane / Install new parapet cap and edging / INSTALL PER IBC / 1:12 / VB / B",SCHROCK COMMERCIAL ROOFING INC,32272.0,0.0,,,2321 S 03RD ST W,,32272.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00196,BCRRS -  Reroof/Reside Commercial,,,COM / Remove and dispose of existing membrane only - leave BUR and lightweight concrete / Install new ½” cover board over entire roof with screws and 3” plates / Fasten according to manufacturer recommendations / Fully adhere new 60 Mil PVC membrane with waterborne adhesive / Install additional 2x4 nailer around perimeter - improving drip from existing wall / Install new PVC clad metal with wind clip edging around roof perimeter / INSTALL PER IBC AND LISTING / OBSERVE LOW SLOT REQUIREMENTS / 1:12 / VB / B,SCHROCK COMMERCIAL ROOFING INC,46956.0,0.0,,,2200 STEPHENS AVE,,46956.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00204,BCRRS -  Reroof/Reside Commercial,,,COM BLDG / Remove existing membrane roof / install new 60 mil TPO over existing insulation / INSTALL ICE AND WATER SHIELD / INSTALL PER IBC AND LISTING / 0.25:12 / VB / B,SUMMIT ROOFING INC,10800.0,0.0,,,2230-100 N RESERVE ST,,10800.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2022-MSS-RES-00016,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE//VB/R-3/U,HARD TO BEAT CONSTRUCTION LLC,,174996.51,,541441.9,7030 MAX DR,SFR-DET,174996.51,366445.39,Single Dwelling Detached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2022-MSS-RES-00046,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE/VB/R-3/U,SS PROPERTY SOLUTIONS INC,,108343.03,,343903.05,355 TRAIL BLAZER LOOP,TED SF,108343.03,235560.02,TED Single Dwelling,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00051,,BAARR -  Add/Alter/Remodel Residential,,SFR/ADDITION/REMODEL/VB/R-3,CLEARWATER GROUP,377660.66,0.0,,,426 E CENTRAL AVE,,377660.66,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2022-MSS-RES-00065,,BNSFT - New Single Family Townhouse,,NEW TOWNHOME/ATT GARAGE//VB/R-3/U,LM COX INC,,92883.79,,263750.27,2170-C CHUCK WAGON DR,SFR-ATT,92883.79,170866.48000000004,Single Dwelling Attached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2022-MSS-RES-00066,,BNSFT - New Single Family Townhouse,,NEW TOWNHOME/ATT GARAGE/VB/R-3/U,LM COX INC,,84117.01,,263870.03,2170-B CHUCK WAGON DR,SFR-ATT,84117.01,179753.02000000002,Single Dwelling Attached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2022-MSS-RES-00067,,BNSFT - New Single Family Townhouse,,NEW TOWNHOME/ATT GARAGE/VB/R-3/U,LM COX INC,,92917.89,,263870.03,2170-A CHUCK WAGON DR,SFR-ATT,92917.89,170952.14,Single Dwelling Attached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00106,,BAARR -  Add/Alter/Remodel Residential,,SFR / ATT GARAGE/ADDITION/REMODEL/PARTIAL REROOF/VB/R-3,CJB PROPERTIES LLC,250000.0,0.0,,,3525 WASHBURN AVE,,250000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2022-MSS-RES-00131,,BNSFR - New Single Family Residence,,NEW ADU-SFR/ VB / R-3 / ATT GARAGE/DEMO OLD GARAGE/,OWNER,,43346.16,,140119.3,1160 MITCHELL ST,ADU,43346.16,96773.13999999998,ADU,New Construction,0,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2022-MSS-RES-00164,,BNSFT - New Single Family Townhouse,,NEW TOWNHOME /ATT GARAGE/ VB / R-3,LM COX INC,,76001.6,,243504.4,2150-B CHUCK WAGON DR,SFR-ATT,76001.6,167502.8,Single Dwelling Attached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2022-MSS-RES-00165,,BNSFT - New Single Family Townhouse,,NEW TOWNHOME/ATT GARAGE / VB / R-3,LM COX INC,,76001.6,,243504.41,2150-A CHUCK WAGON DR,SFR-ATT,76001.6,167502.81,Single Dwelling Attached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
06 - New Miscellaneous,2022-MSS-RES-00178,,BO\S\R - Other Residential,,SFR / Replace existing deck./VB/R-3,OWNER,5000.0,0.0,,,2411 43RD ST,,5000.0,0.0,"Misc. (Garage, Shed, etc.)",New Construction,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00199,,BAARR -  Add/Alter/Remodel Residential,,"SFR / Expand 2 existing window openings to comply with egress standards, and expand the exterior window wells to accomodate.",GREENBRIAR CONSTRUCTION,10000.0,0.0,,,140 E KENT AVE,,10000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
06 - New Miscellaneous,2022-MSS-RES-00205,,BNRDG - New Detached Garage/Carport,,DET GARAGE / Remove roof structure from existing garage and replace with new attic trusses.  Installing new siding and roofing to existing structure.  Add 100amp sub panel to garage/VB/U,TAMARACK CONSTRUCTION CO INC,25000.0,0.0,,,1445 S 05TH ST W,,25000.0,0.0,"Misc. (Garage, Shed, etc.)",New Construction,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00208,,BAARR -  Add/Alter/Remodel Residential,,"SFR / VB / R-3 / BASEMENT FINISH / ADDING ON ONE INTERIOR WALL TO CREATE SMALL CLOSED OFF KITCHEN AREA AND A SMALL STORAGE CLOSET IN HALLWAY. ALSO, ADDITIONAL STORAGE CLOSET IN BEDROOM 3.",OWNER,15000.0,0.0,,,7140 AVERY LN,,15000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00242,,BAARR -  Add/Alter/Remodel Residential,,DUPLEX/ VB / R-2/replace and repair retaining wall and stairs going down to the basement apartment.,COLLEGE PRO PAINTERS,1500.0,0.0,,,2305 W SUSSEX AVE,,1500.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2022-MSS-RES-00254,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE/VB/R-3/U,EDGELL BUILDING AND DEVELOPMENT INC,,145569.74,,461134.23,2536 DRAKE LN,SFR-DET,145569.74,315564.49,Single Dwelling Detached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00257,,BAARR -  Add/Alter/Remodel Residential,,SFR/INTERIOR ONLY REMODEL Kitchen remodel.  Interior re-framing of the roof over the kitchen./VB/R-3,GADDY CONTRUCTION LLC,30000.0,0.0,,,2617 RAYMOND AVE,,30000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00258,,BAARR -  Add/Alter/Remodel Residential,,"SFR/main hall bath - tub to shower conversion, replacing wall surround in wet area only. back wall is exterior, will check for proper insulation & put in vapor barrier prior to closing walls back up./VB/R-3",YOUR HOME IMPROVEMENT COMPANY LLC,6000.0,0.0,,,1941 36TH ST,,6000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00259,,BAARR -  Add/Alter/Remodel Residential,,"SFR/master bath - tub to shower conversion; replace wall surround panels in wet area only. back wall is exterior, will be checking for proper insulation & vapor barrier prior to closing walls back up/VB/R-3",YOUR HOME IMPROVEMENT COMPANY LLC,7000.0,0.0,,,3330 S GRANT ST,,7000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00311,,BAARR -  Add/Alter/Remodel Residential,,"SFR/REMODEL/DECK ADDITION/NO LIVING SQ FT ADDING TO EXISTING HOUSE.  REMODEL KITCHEN, LAUNDRY/MUDROOM AND MAIN FLOOR BATHROOM.  ADD DECK TO 2ND STORY MASTER BEDROOM./VB/R-3",TRADEWORKS CONSTRUCTION LLC,100000.0,0.0,,,3 STARVIEW CT,,100000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2022-MSS-RES-00323,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE/VB/R-3,HOYT HOMES INC,,142523.05,,451663.82,819 ANGLERS BEND WAY,SFR-DET,142523.05,309140.77,Single Dwelling Detached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2022-MSS-RES-00350,,BNSFR - New Single Family Residence,,NSFR//VB/R-3,BOB MARTZ HOMES,,117422.29,,369537.5,5609 CATTLE DR,SFR-DET,117422.29,252115.21000000002,Single Dwelling Detached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
06 - New Miscellaneous,2022-MSS-RES-00351,,BNRDG - New Detached Garage/Carport,,NEW DET GARAGE/VB/U,BOB MARTZ HOMES,,13912.8,,48865.83,5609 CATTLE DR,,13912.8,34953.03,"Misc. (Garage, Shed, etc.)",New Construction,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00387,,BAARR -  Add/Alter/Remodel Residential,,SFR/ADDITION/VB/R-3,SHELTER,,17308.15,,56298.82,823 DEFOE ST,,17308.15,38990.67,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00412,,BAARR -  Add/Alter/Remodel Residential,,SFR/BATHROOM REMODEL/Widen door opening. Relocate fixtures in bathroom./VB/R-3,OWNER,5000.0,0.0,,,1539 S 11TH ST W,,5000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00435,,BRRRS - Reroof or Reside Residential,,"SFR / Take of old shingles / put new 30 year malarkey nex / synthetic layment, / ice watershield / INSTALL PER IRC AND LISTING / 4:12 / VB / R-3",NEW HORIZONS ROOFING LLC,13500.0,0.0,,,32 DARLENE DR,,13500.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00436,,BRRRS - Reroof or Reside Residential,,"SFR / Put new roof over existing roof / Metal over existing roof / INSTALL ICE AND WATER SHIELD / INSTALL PER IRC AND LISTING / 4:12 / VB / R-3
2 TOTAL LAYERS OF ROOFING MAXIMUM PER CODE",OWNER,10000.0,0.0,,,920 POLARIS WAY,,10000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00451,,BAARR -  Add/Alter/Remodel Residential,,TH #28/Tub to shower conversion and replacing the surround wall in downstairs bathroom. No changes to layout or plumbing./VB/R-3,YOUR HOME IMPROVEMENT COMPANY LLC,11000.0,0.0,,,2200 # 28 GARLAND DR,,11000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00453,,BAARR -  Add/Alter/Remodel Residential,,"SFR/Tub to shower conversion and replacing the surround wall in main floor bathroom, also replacing the window in the bathroom. No changes to layout or plumbing/VB/R-3",YOUR HOME IMPROVEMENT COMPANY LLC,8000.0,0.0,,,543 BLAINE ST,,8000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00454,,BAARR -  Add/Alter/Remodel Residential,,CONDO #45/Tub to shower conversion and replacing the surround wall in the main floor bathroom/VB/R-2,YOUR HOME IMPROVEMENT COMPANY LLC,7000.0,0.0,,,2101 45 DEARBORN AVE,,7000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2022-MSS-RES-00456,,BAARR -  Add/Alter/Remodel Residential,,"SFR/Tub to shower conversion and replacing the surround wall in the guest bathroom, replacing shower and surround wall in the master bathroom. No changes to either bathrooms plumbing or layout/VB/R-3",YOUR HOME IMPROVEMENT COMPANY LLC,13000.0,0.0,,,5003 GERALDINE CT,,13000.0,0.0,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
